State,Parliamentary Constituency,,Winner,,,,,Runner-up,,,,,Margin
,No.,Name,Candidate,Party,,%,Votes,Candidate,Party,,Votes,%,Votes
,5,Gulbarga,Radhakrishna Doddamani,,INC,49.78,"6,52,321",Umesh. G. Jadhav,,BJP,"6,25,116",47.7,27205
,6,Raichur,G. Kumar Naik,,INC,51.63,"6,70,966",Raja Amareshwara Naik,,BJP,"5,91,185",45.49,79781
,7,Bidar,Sagar Eshwar Khandre,,INC,53.63,"6,66,317",Bhagwant Khuba,,BJP,"5,37,442",43.26,128875
,8,Koppal,K. Rajashekhar Basavaraj Hitnal,,INC,49.93,"6,63,511",Basavaraj K. Sharanappa,,BJP,"6,17,154",46.44,46357
,9,Bellary,E. Tukaram,,INC,52.58,"7,30,845",B. Sreeramulu,,BJP,"6,31,853",45.46,98992
,10,Haveri,Basavaraj Bommai,,BJP,50.55,"7,05,538",Anandswamy Gaddadevarmath,,INC,"6,62,025",47.43,43513
,11,Dharwad,Prahlad Joshi,,BJP,52.41,"7,16,231",Vinod Asooti,,INC,"6,18,907",45.29,97324
,12,Uttara Kannada,Vishweshwar Hegde Kageri,,BJP,61.97,"7,82,495",Anjali Nimbalkar,,INC,"4,45,067",35.25,337428
,13,Davanagere,Prabha Mallikarjun,,INC,47.95,"6,33,059",Gayithri Siddeshwara,,BJP,"6,06,965",45.97,26094
,14,Shimoga,B. Y. Raghavendra,,BJP,56.54,"7,78,721",Geetha Shivarajkumar,,INC,"5,35,006",38.85,243715
,15,Udupi Chikmagalur,Kota Srinivas Poojary,,BJP,59.56,"7,32,234",K. Jayaprakash Hegde,,INC,"4,73,059",38.48,259175
,16,Hassan,Shreyas M. Patel,,INC,49.67,"6,72,988",Prajwal Revanna,,JD(S),"6,30,339",46.52,42649
,17,Dakshina Kannada,Brijesh Chowta,,BJP,53.97,"7,64,132",Padmaraj R. Poojary,,INC,"6,14,924",43.43,149208
,18,Chitradurga,Govind Makthappa Karjol,,BJP,50.11,"6,84,890",B. N. Chandrappa,,INC,"6,36,769",46.58,48121
,19,Tumkur,V. Somanna,,BJP,55.31,"7,20,946",S. P. Muddahanumegowda,,INC,"5,45,352",41.84,175594
,20,Mandya,H. D. Kumaraswamy,,JD(S),58.34,"8,51,881",Venkataramane Gowda,,INC,"5,67,261",38.85,284620
,21,Mysore,Yaduveer Krishnadatta Chamaraja Wadiyar,,BJP,53.59,"7,95,503",M. Lakshmana,,INC,"6,56,241",44.21,139262
,22,Chamarajanagar,Sunil Bose,,INC,54.87,"7,51,671",Balaraj S.,,BJP,"5,62,965",41.1,188706
,23,Bangalore Rural,C. N. Manjunath,,BJP,56.21,"10,79,002",D. K. Suresh,,INC,"8,09,355",42.16,269647
,24,Bangalore North,Shobha Karandlaje,,BJP,56.27,"9,86,049",M. V. Rajeev Gowda,,INC,"7,26,573",41.46,259476
,25,Bangalore Central,P. C. Mohan,,BJP,50.05,"6,58,915",Mansoor Ali Khan,,INC,"6,26,208",47.57,32707
,26,Bangalore South,Tejaswi Surya,,BJP,60.1,"7,50,830",Sowmya Reddy,,INC,"4,73,747",37.92,277083
,27,Chikballapur,K. Sudhakar,,BJP,53.74,"8,22,619",M. S. Raksha Ramaiah,,INC,"6,59,159",43.06,163460
,28,Kolar,M. Mallesh Babu,,JD(S),51.02,"6,91,481",K. V. Gowtham,,INC,"6,20,093",45.76,71388
Kerala,1,Kasaragod,Rajmohan Unnithan,,INC,44.1,"4,90,659",M. V. Balakrishnan,,CPI(M),"3,90,010",35.06,100649
,2,Kannur,K. Sudhakaran,,INC,48.74,"5,18,524",M. V. Jayarajan,,CPI(M),"4,09,542",38.5,108982
