Year,Party,Votes,Seats,Percentage,Coalition_Block,Seat_Conversion_Efficiency
2009,Bharat Uday Mission,4210.0,0,0.0,Others / Regional,0.0
2009,Bharat Vikas Morcha,5645.0,0,0.0,Others / Regional,0.0
2009,Bharatheeya Sadharma Samsthapana Party,15718.0,0,0.0,Others / Regional,0.0
2009,Bharathiya Sahayog Congress,4758.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Backward Party,1552.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Bahujan Party,39797.0,0,0.01,Others / Regional,0.0
2009,Bharatiya Eklavya Party,8105.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Gaon Taj Dal,7764.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Grameen Dal,346.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Jai Bheem Party,1253.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Jan Berojgar Chhatra Dal,4307.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Jan Kranti Dal (Democratic),1245.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Jan Shakti,1296.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Jana Sangh,20599.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Jantantrik Janta Dal,34528.0,0,0.01,Others / Regional,0.0
2009,Bharatiya Jantantrik Parishad,6872.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Loktantrik Party (Gandhi-Lohiawadi),3359.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Minorities Suraksha Mahasangh,9871.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Momin Front,13737.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Nagrik Party,1464.0,0,0.0,Others / Regional,0.0
2009,Bharatiya National Janta Dal,7194.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Peoples Party,5226.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Pichhra Dal,3292.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Praja Paksha,9457.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Rashtravadi Paksha,1407.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Rashtriya Morcha,867.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Republican Paksha,25940.0,0,0.01,Others / Regional,0.0
2009,Bharatiya Sadbhawna Samaj Party,15948.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Samaj Dal,5565.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Samaj Kalyan Party Bharat,2822.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Sampuran Krantikari Party,5068.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Samta Samaj Party,11151.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Sarvkalyan Krantidal,496.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Sarvodaya Kranti Party,15734.0,0,0.0,Others / Regional,0.0
2009,Bharatiya Subhash Sena,6250.0,0,0.0,Others / Regional,0.0
2009,Bharipa Bahujan Mahasangh,492470.0,0,0.12,Others / Regional,0.0
2009,Bhartiya Chaitanya Party,1246.0,0,0.0,Others / Regional,0.0
2009,Bhartiya Congress (M),1069.0,0,0.0,Others / Regional,0.0
2009,Bhartiya Deshbhakt Party,2217.0,0,0.0,Others / Regional,0.0
2009,Bhartiya Jagran Party,13506.0,0,0.0,Others / Regional,0.0
2009,Bhartiya Lok Kalyan Dal,5197.0,0,0.0,Others / Regional,0.0
2009,Bhartiya Pragatisheel Congress,2798.0,0,0.0,Others / Regional,0.0
2009,Bira Oriya Party,47720.0,0,0.01,Others / Regional,0.0
2009,Buddhiviveki Vikas Party,1774.0,0,0.0,Others / Regional,0.0
2009,Bundelkhand Akikrit Party,7593.0,0,0.0,Others / Regional,0.0
2009,Bundelkhand Mukti Morcha,1211.0,0,0.0,Others / Regional,0.0
2009,CPI,5951888.0,4,1.43,UPA / I.N.D.I.A.,2.8
2009,CPI(M),22219111.0,16,5.33,UPA / I.N.D.I.A.,3.0
2009,CPI(ML)L,1044510.0,0,0.25,UPA / I.N.D.I.A.,0.0
2009,Chhattisgarh Vikas Party,18394.0,0,0.0,Others / Regional,0.0
2009,Chhattisgarhi Samaj Party,11972.0,0,0.0,Others / Regional,0.0
2009,Christian Democratic Front,1300.0,0,0.0,Others / Regional,0.0
2009,DMK,7625397.0,18,1.83,UPA / I.N.D.I.A.,9.84
2009,Democratic Bharatiya Samaj Party,7817.0,0,0.0,Others / Regional,0.0
2009,Democratic Congress Party,2497.0,0,0.0,Others / Regional,0.0
2009,Democratic Party Of India,494.0,0,0.0,Others / Regional,0.0
2009,Democratic Secular Party,30532.0,0,0.01,Others / Regional,0.0
2009,Desh Bhakt Party,531.0,0,0.0,Others / Regional,0.0
2009,Desia Pathukappu Kazhagam,2154.0,0,0.0,Others / Regional,0.0
2009,Desiya Murpokku Dravida Kazhagam,3126117.0,0,0.75,Others / Regional,0.0
2009,Duggar Pradesh Party,5660.0,0,0.0,Others / Regional,0.0
2009,Eklavya Samaj Party,31983.0,0,0.01,Others / Regional,0.0
2009,Federal Congress Of India,684.0,0,0.0,Others / Regional,0.0
2009,Gondwana Ganatantra Party,220741.0,0,0.05,Others / Regional,0.0
2009,Gondwana Mukti Sena,85355.0,0,0.02,Others / Regional,0.0
2009,Great India Party,18161.0,0,0.0,Others / Regional,0.0
2009,Haryana Janhit Congress (Bl),816395.0,1,0.2,Others / Regional,5.0
2009,Hill State People'S Democratic Party,97613.0,0,0.02,Others / Regional,0.0
2009,Hind Vikas Party,532.0,0,0.0,Others / Regional,0.0
2009,Hindu Mahasabha,47456.0,0,0.01,Others / Regional,0.0
2009,Hindustan Janata Party,7054.0,0,0.0,Others / Regional,0.0
2009,INC,119111019.0,206,28.55,UPA / I.N.D.I.A.,7.22
2009,IND,21647686.0,9,5.19,Others / Regional,1.73
2009,IUML,877494.0,2,0.21,UPA / I.N.D.I.A.,9.52
2009,Indian Bahujan Samajwadi Party,1780.0,0,0.0,Others / Regional,0.0
2009,Indian Christian Secular Party,1853.0,0,0.0,Others / Regional,0.0
2009,Indian Justice Party,177759.0,0,0.04,Others / Regional,0.0
2009,Indian National Lok Dal,1286573.0,0,0.31,Others / Regional,0.0
2009,Indian People'S Forward Block,2686.0,0,0.0,Others / Regional,0.0
2009,Indian Union Muslim League (Iuml),7553.0,0,0.0,Others / Regional,0.0
2009,Inqalab Vikas Dal,4439.0,0,0.0,Others / Regional,0.0
2009,JD(S),3434082.0,3,0.82,Others / Regional,3.66
2009,JD(U),6331201.0,20,1.52,NDA,13.16
