Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won
2024,Lakshadweep,NCP,,0.41,0
2024,Madhya Pradesh,BJP,,59.27,29
2024,Madhya Pradesh,INC,,32.44,0
2024,Maharashtra,INC,,16.92,13
2024,Maharashtra,BJP,,26.18,9
2024,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),,16.72,9
2024,Maharashtra,Nationalist Congress Party (Sharadchandra Pawar),,10.27,8
2024,Maharashtra,SS,,12.95,7
2024,Maharashtra,NCP,,3.6,1
2024,Maharashtra,IND,,,1
2024,Maharashtra,AIMIM,,0.61,0
2024,Manipur,INC,,47.59,2
2024,Manipur,Naga People'S Front,,18.87,0
2024,Manipur,BJP,,16.58,0
2024,Manipur,Republican Party Of India,,8.58,0
2024,Meghalaya,INC,,34.05,1
2024,Meghalaya,Voice Of The People Party,,33.4,1
2024,Meghalaya,National People'S Party,,24.22,0
2024,Mizoram,Zoram People'S Movement,,42.39,1
2024,Mizoram,Mizo National Front,,28.66,0
2024,Mizoram,INC,,20.08,0
2024,Nagaland,INC,,52.76,1
2024,Nagaland,Nationalist Democratic Progressive Party,,46.24,0
2024,Odisha,BJP,,45.34,20
2024,Odisha,INC,,12.52,1
2024,Odisha,BJD,,37.53,0
2024,Puducherry,INC,,52.74,1
2024,Puducherry,BJP,,35.81,0
2024,Punjab,INC,,26.3,7
2024,Punjab,AAP,,26.02,3
2024,Punjab,IND,,,2
2024,Punjab,SAD,,13.42,1
2024,Punjab,BJP,,18.56,0
2024,Rajasthan,BJP,,49.24,14
2024,Rajasthan,INC,,37.91,8
2024,Rajasthan,CPI(M),,1.97,1
2024,Rajasthan,Rashtriya Loktantrik Party,,1.8,1
2024,Rajasthan,Bharat Adivasi Party,,,1
2024,Sikkim,SKM,,42.52,1
2024,Sikkim,Citizen Action Party Â- Sikk,,21.71,0
2024,Sikkim,SDF,,20.46,0
2024,Sikkim,BJP,,5.09,0
2024,Tamil Nadu,DMK,,26.93,22
2024,Tamil Nadu,INC,,10.67,9
2024,Tamil Nadu,CPI(M),,2.52,2
2024,Tamil Nadu,CPI,,2.15,2
2024,Tamil Nadu,VCK,,,2
2024,Tamil Nadu,Indian Union Muslim League,,1.17,1
2024,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,,,1
2024,Tamil Nadu,AIADMK,,20.46,0
2024,Tamil Nadu,BJP,,11.24,0
2024,Telangana,INC,,40.1,8
2024,Telangana,BJP,,35.08,8
2024,Telangana,AIMIM,,3.02,1
2024,Telangana,BRS,,16.68,0
2024,Tripura,BJP,,70.72,2
2024,Tripura,CPI(M),,12.44,0
2024,Tripura,INC,,11.49,0
2024,Uttar Pradesh,SP,,33.59,37
2024,Uttar Pradesh,BJP,,41.37,33
2024,Uttar Pradesh,INC,,9.46,6
2024,Uttar Pradesh,RLD,,1.02,2
2024,Uttar Pradesh,Apna Dal (Soneylal),,0.92,1
2024,Uttar Pradesh,Aazad Samaj Party,,,1
2024,Uttar Pradesh,BSP,,9.39,0
2024,Uttarakhand,BJP,,56.81,5
