Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2024,Bihar,Arrah,Sudama Prasad,CPI(ML)L,R. K. Singh,BJP,FALSE
2004,Bihar,Aurangabad,Nikhil Kumar,INC,,,
2009,Bihar,Aurangabad,Sushil Kumar Singh,JD(U),Nikhil Kumar,INC,FALSE
2014,Bihar,Aurangabad,Sushil Kumar Singh,BJP,Sushil Kumar Singh,JD(U),TRUE
2019,Bihar,Aurangabad,Sushil Kumar Singh,BJP,Sushil Kumar Singh,BJP,TRUE
2024,Bihar,Aurangabad,Abhay Kumar Sinha,RJD,Sushil Kumar Singh,BJP,FALSE
2004,Bihar,Bagaha,Kailash Baitha,JD(U),,,
2004,Bihar,Balia,Surajbhan Singh,LJP,,,
2004,Bihar,Banka,Giridhari Yadav,RJD,,,
2009,Bihar,Banka,Digvijay Singh,IND,Giridhari Yadav,RJD,FALSE
2014,Bihar,Banka,Jay Prakash Narayan Yadav,RJD,Digvijay Singh,IND,FALSE
2019,Bihar,Banka,Giridhari Yadav,JD(U),Jay Prakash Narayan Yadav,RJD,FALSE
2024,Bihar,Banka,Giridhari Yadav,JD(U),Giridhari Yadav,JD(U),TRUE
2004,Bihar,Barh,Vijay Krishna,RJD,,,
2004,Bihar,Begusarai,Rajiv Ranjan Singh,JD(U),,,
2009,Bihar,Begusarai,Monazir Hassan,JD(U),Rajiv Ranjan Singh,JD(U),FALSE
2014,Bihar,Begusarai,Bhola Singh,BJP,Monazir Hassan,JD(U),FALSE
2019,Bihar,Begusarai,Giriraj Singh,BJP,Bhola Singh,BJP,FALSE
2024,Bihar,Begusarai,Giriraj Singh,BJP,Giriraj Singh,BJP,TRUE
2004,Bihar,Bettiah,Raghunath Jha,RJD,,,
2004,Bihar,Bhagalpur,Sushil Kumar Modi,BJP,,,
2009,Bihar,Bhagalpur,Syed Shahnawaz Hussain,BJP,Sushil Kumar Modi,BJP,FALSE
2014,Bihar,Bhagalpur,Shailesh Kumar Mandal,RJD,Syed Shahnawaz Hussain,BJP,FALSE
2019,Bihar,Bhagalpur,Ajay Kumar Mandal,JD(U),Shailesh Kumar Mandal,RJD,FALSE
2024,Bihar,Bhagalpur,Ajay Kumar Mandal,JD(U),Ajay Kumar Mandal,JD(U),TRUE
2004,Bihar,Bikramganj,Ajit Kumar Singh,JD(U),,,
2004,Bihar,Buxar,Lalmuni Chaubey,BJP,,,
2009,Bihar,Buxar,Jagada Nand Singh,RJD,Lalmuni Chaubey,BJP,FALSE
2014,Bihar,Buxar,Ashwini Kumar Choubey,BJP,Jagada Nand Singh,RJD,FALSE
2019,Bihar,Buxar,Ashwini Kumar Choubey,BJP,Ashwini Kumar Choubey,BJP,TRUE
2024,Bihar,Buxar,Sudhakar Singh,RJD,Ashwini Kumar Choubey,BJP,FALSE
2004,Bihar,Chapra,Lalu Prasad Yadav,RJD,,,
2004,Bihar,Darbhanga,Ali Ashraf Fatmi,RJD,,,
2009,Bihar,Darbhanga,Kirti Azad,BJP,Ali Ashraf Fatmi,RJD,FALSE
2014,Bihar,Darbhanga,Kirti Azad,BJP,Kirti Azad,BJP,TRUE
2019,Bihar,Darbhanga,Gopal Jee Thakur,BJP,Kirti Azad,BJP,FALSE
2024,Bihar,Darbhanga,Gopal Jee Thakur,BJP,Gopal Jee Thakur,BJP,TRUE
2004,Bihar,Gaya,Rajesh Kumar Manjhi,RJD,,,
2009,Bihar,Gaya,Hari Manjhi,BJP,Rajesh Kumar Manjhi,RJD,FALSE
2014,Bihar,Gaya,Hari Manjhi,BJP,Hari Manjhi,BJP,TRUE
2019,Bihar,Gaya,Vijay Kumar Manjhi,JD(U),Hari Manjhi,BJP,FALSE
2024,Bihar,Gaya,Jitan Ram Manjhi,HAM(S),Vijay Kumar Manjhi,JD(U),FALSE
2004,Bihar,Gopalganj,Anirudh Prasad Yadav,RJD,,,
2009,Bihar,Gopalganj,Purnmasi Ram,JD(U),Anirudh Prasad Yadav,RJD,FALSE
2014,Bihar,Gopalganj,Janak Ram,BJP,Purnmasi Ram,JD(U),FALSE
2019,Bihar,Gopalganj,Alok Kumar Suman,JD(U),Janak Ram,BJP,FALSE
2024,Bihar,Gopalganj,Alok Kumar Suman,JD(U),Alok Kumar Suman,JD(U),TRUE
2004,Bihar,Hajipur,Ram Vilas Paswan,LJP,,,
2009,Bihar,Hajipur,Ram Sundar Das,JD(U),Ram Vilas Paswan,LJP,FALSE
2014,Bihar,Hajipur,Ram Vilas Paswan,LJP,Ram Sundar Das,JD(U),FALSE
2019,Bihar,Hajipur,Pashupati Kumar Paras,LJP,Ram Vilas Paswan,LJP,FALSE
2024,Bihar,Hajipur,Chirag Paswan,Ljp(Rv),Pashupati Kumar Paras,LJP,FALSE
2004,Bihar,Jahanabad,Ganesh Prasad Singh,RJD,,,
2009,Bihar,Jahanabad,Jagdish Sharma,JD(U),Ganesh Prasad Singh,RJD,FALSE
2014,Bihar,Jahanabad,Arun Kumar,Rashtriya Lok Samta Party,Jagdish Sharma,JD(U),FALSE
2019,Bihar,Jahanabad,Chandeshwar Prasad,JD(U),Arun Kumar,Rashtriya Lok Samta Party,FALSE
2024,Bihar,Jahanabad,Surendra Prasad Yadav,RJD,Chandeshwar Prasad,JD(U),FALSE
2009,Bihar,Jamui,Bhudeo Choudhary,JD(U),,,
2014,Bihar,Jamui,Chirag Paswan,LJP,Bhudeo Choudhary,JD(U),FALSE
2019,Bihar,Jamui,Chirag Paswan,LJP,Chirag Paswan,LJP,TRUE
2024,Bihar,Jamui,Arun Bharti,Ljp(Rv),Chirag Paswan,LJP,FALSE
2004,Bihar,Jhanjharpur,Devendra Prasad Yadav,RJD,,,
2009,Bihar,Jhanjharpur,Mangani Lal Mandal,JD(U),Devendra Prasad Yadav,RJD,FALSE
2014,Bihar,Jhanjharpur,Birendra Kumar Chaudhary,BJP,Mangani Lal Mandal,JD(U),FALSE
2019,Bihar,Jhanjharpur,Ramprit Mandal,JD(U),Birendra Kumar Chaudhary,BJP,FALSE
2024,Bihar,Jhanjharpur,Ramprit Mandal,JD(U),Ramprit Mandal,JD(U),TRUE
2009,Bihar,Karakat,Mahabali Singh,JD(U),,,
2014,Bihar,Karakat,Upendra Kushwaha,Rashtriya Lok Samta Party,Mahabali Singh,JD(U),FALSE
2019,Bihar,Karakat,Mahabali Singh,JD(U),Upendra Kushwaha,Rashtriya Lok Samta Party,FALSE
2024,Bihar,Karakat,Raja Ram Singh Kushwaha,CPI(ML)L,Mahabali Singh,JD(U),FALSE
2004,Bihar,Katihar,Nikhil Kumar Choudhary,BJP,,,
2009,Bihar,Katihar,Nikhil Kumar Choudhary,BJP,Nikhil Kumar Choudhary,BJP,TRUE
2014,Bihar,Katihar,Tariq Anwar,NCP,Nikhil Kumar Choudhary,BJP,FALSE
2019,Bihar,Katihar,Dulal Chandra Goswami,JD(U),Tariq Anwar,NCP,FALSE
2024,Bihar,Katihar,Tariq Anwar,INC,Dulal Chandra Goswami,JD(U),FALSE
2004,Bihar,Khagaria,Rabindra Kumar Rana,RJD,,,
2009,Bihar,Khagaria,Dinesh Chandra Yadav,JD(U),Rabindra Kumar Rana,RJD,FALSE
2014,Bihar,Khagaria,Mehboob Ali Kaiser,LJP,Dinesh Chandra Yadav,JD(U),FALSE
2019,Bihar,Khagaria,Mehboob Ali Kaiser,LJP,Mehboob Ali Kaiser,LJP,TRUE
2024,Bihar,Khagaria,Rajesh Verma,Ljp(Rv),Mehboob Ali Kaiser,LJP,FALSE
2004,Bihar,Kishanganj,Mohammed Taslimuddin,RJD,,,
2009,Bihar,Kishanganj,Mohammad Asrarul Haque,INC,Mohammed Taslimuddin,RJD,FALSE
2014,Bihar,Kishanganj,Mohammad Asrarul Haque,INC,Mohammad Asrarul Haque,INC,TRUE
2019,Bihar,Kishanganj,Mohammad Jawed,INC,Mohammad Asrarul Haque,INC,FALSE
2024,Bihar,Kishanganj,Mohammad Jawed,INC,Mohammad Jawed,INC,TRUE
2004,Bihar,Madhepura,Lalu Prasad Yadav,RJD,,,
2009,Bihar,Madhepura,Sharad Yadav,JD(U),Lalu Prasad Yadav,RJD,FALSE
2014,Bihar,Madhepura,Rajesh Ranjan,RJD,Sharad Yadav,JD(U),FALSE
2019,Bihar,Madhepura,Dinesh Chandra Yadav,JD(U),Rajesh Ranjan,RJD,FALSE
2024,Bihar,Madhepura,Dinesh Chandra Yadav,JD(U),Dinesh Chandra Yadav,JD(U),TRUE
2004,Bihar,Madhubani,Shakeel Ahmad,INC,,,
2009,Bihar,Madhubani,Hukmdev Narayan Yadav,BJP,Shakeel Ahmad,INC,FALSE
2014,Bihar,Madhubani,Hukm Deo Narayan Yadav,BJP,Hukmdev Narayan Yadav,BJP,FALSE
2019,Bihar,Madhubani,Ashok Kumar Yadav,BJP,Hukm Deo Narayan Yadav,BJP,FALSE
2024,Bihar,Madhubani,Ashok Kumar Yadav,BJP,Ashok Kumar Yadav,BJP,TRUE
2004,Bihar,Maharajganj,Prabhunath Singh,JD(U),,,
2009,Bihar,Maharajganj,Umashanker Singh,RJD,Prabhunath Singh,JD(U),FALSE
2014,Bihar,Maharajganj,Janardan Singh Sigriwal,BJP,Umashanker Singh,RJD,FALSE
2019,Bihar,Maharajganj,Janardan Singh Sigriwal,BJP,Janardan Singh Sigriwal,BJP,TRUE
2024,Bihar,Maharajganj,Janardan Singh Sigriwal,BJP,Janardan Singh Sigriwal,BJP,TRUE
2004,Bihar,Monghyr,Jay Prakash Narayan Yadav,RJD,,,
2004,Bihar,Motihari,Akhilesh Prasad Singh,RJD,,,
2009,Bihar,Munger,Rajiv Ranjan Singh,JD(U),,,
2014,Bihar,Munger,Veena Devi,LJP,Rajiv Ranjan Singh,JD(U),FALSE
2019,Bihar,Munger,Rajiv Ranjan Singh,JD(U),Veena Devi,LJP,FALSE
2024,Bihar,Munger,Rajeev Ranjan Singh Alias Lalan Singh,JD(U),Rajiv Ranjan Singh,JD(U),FALSE
2004,Bihar,Muzaffarpur,George Fernandes,JD(U),,,
2009,Bihar,Muzaffarpur,Jai Narain Prasad Nishad,JD(U),George Fernandes,JD(U),FALSE
2014,Bihar,Muzaffarpur,Ajay Nishad,BJP,Jai Narain Prasad Nishad,JD(U),FALSE
2019,Bihar,Muzaffarpur,Ajay Nishad,BJP,Ajay Nishad,BJP,TRUE
2024,Bihar,Muzaffarpur,Raj Bhushan Choudhary,BJP,Ajay Nishad,BJP,FALSE
2004,Bihar,Nalanda,Nitish Kumar,JD(U),,,
2009,Bihar,Nalanda,Kaushalendra Kumar,JD(U),Nitish Kumar,JD(U),FALSE
2014,Bihar,Nalanda,Kaushalendra Kumar,JD(U),Kaushalendra Kumar,JD(U),TRUE
2019,Bihar,Nalanda,Kaushalendra Kumar,JD(U),Kaushalendra Kumar,JD(U),TRUE
2024,Bihar,Nalanda,Kaushalendra Kumar,JD(U),Kaushalendra Kumar,JD(U),TRUE
2004,Bihar,Nawada,Virchandra Paswan,RJD,,,
2009,Bihar,Nawada,Bhola Singh,BJP,Virchandra Paswan,RJD,FALSE
2014,Bihar,Nawada,Giriraj Singh,BJP,Bhola Singh,BJP,FALSE
2019,Bihar,Nawada,Chandan Singh,LJP,Giriraj Singh,BJP,FALSE
2024,Bihar,Nawada,Vivek Thakur,BJP,Chandan Singh,LJP,FALSE
2009,Bihar,Paschim Champaran,Sanjay Jaiswal,BJP,,,
2014,Bihar,Paschim Champaran,Sanjay Jaiswal,BJP,Sanjay Jaiswal,BJP,TRUE
2019,Bihar,Paschim Champaran,Sanjay Jaiswal,BJP,Sanjay Jaiswal,BJP,TRUE
2024,Bihar,Paschim Champaran,Sanjay Jaiswal,BJP,Sanjay Jaiswal,BJP,TRUE
2009,Bihar,Pataliputra,Ranjan Prasad Yadav,JD(U),,,
2014,Bihar,Pataliputra,Ram Kripal Yadav,BJP,Ranjan Prasad Yadav,JD(U),FALSE
2019,Bihar,Pataliputra,Ram Kripal Yadav,BJP,Ram Kripal Yadav,BJP,TRUE
2024,Bihar,Pataliputra,Misha Bharti,RJD,Ram Kripal Yadav,BJP,FALSE
2004,Bihar,Patna,Ram Kripal Yadav,RJD,,,
2009,Bihar,Patna Sahib,Shatrughan Sinha,BJP,,,
2014,Bihar,Patna Sahib,Shatrughan Sinha,BJP,Shatrughan Sinha,BJP,TRUE
2019,Bihar,Patna Sahib,Ravi Shankar Prasad,BJP,Shatrughan Sinha,BJP,FALSE
2024,Bihar,Patna Sahib,Ravi Shankar Prasad,BJP,Ravi Shankar Prasad,BJP,TRUE
2004,Bihar,Purnea,Uday Singh,BJP,,,
2009,Bihar,Purnia,Uday Singh,BJP,,,
2014,Bihar,Purnia,Santosh Kumar,JD(U),Uday Singh,BJP,FALSE
2019,Bihar,Purnia,Santosh Kumar,JD(U),Santosh Kumar,JD(U),TRUE
2024,Bihar,Purnia,Pappu Yadav,IND,Santosh Kumar,JD(U),FALSE
2009,Bihar,Purvi Champaran,Radha Mohan Singh,BJP,,,
2014,Bihar,Purvi Champaran,Radha Mohan Singh,BJP,Radha Mohan Singh,BJP,TRUE
2019,Bihar,Purvi Champaran,Radha Mohan Singh,BJP,Radha Mohan Singh,BJP,TRUE
2024,Bihar,Purvi Champaran,Radha Mohan Singh,BJP,Radha Mohan Singh,BJP,TRUE
2004,Bihar,Rosera,Ram Chandra Paswan,LJP,,,
2004,Bihar,Saharsa,Ranjeet Ranjan,LJP,,,
2004,Bihar,Samastipur,Alok Kumar Mehta,RJD,,,
2009,Bihar,Samastipur,Maheshwar Hazari,JD(U),Alok Kumar Mehta,RJD,FALSE
2014,Bihar,Samastipur,Ram Chandra Paswan,LJP,Maheshwar Hazari,JD(U),FALSE
2019,Bihar,Samastipur,Ram Chandra Paswan,LJP,Ram Chandra Paswan,LJP,TRUE
2024,Bihar,Samastipur,Shambhavi,Ljp(Rv),Ram Chandra Paswan,LJP,FALSE
2009,Bihar,Saran,Lalu Prasad Yadav,RJD,,,
2014,Bihar,Saran,Rajiv Pratap Rudy,BJP,Lalu Prasad Yadav,RJD,FALSE
2019,Bihar,Saran,Rajiv Pratap Rudy,BJP,Rajiv Pratap Rudy,BJP,TRUE
2024,Bihar,Saran,Rajiv Pratap Rudy,BJP,Rajiv Pratap Rudy,BJP,TRUE
2004,Bihar,Sasaram,Meira Kumar,INC,,,
2009,Bihar,Sasaram,Meira Kumar,INC,Meira Kumar,INC,TRUE
2014,Bihar,Sasaram,Chhedi Paswan,BJP,Meira Kumar,INC,FALSE
2019,Bihar,Sasaram,Chhedi Paswan,BJP,Chhedi Paswan,BJP,TRUE
2024,Bihar,Sasaram,Manoj Kumar,INC,Chhedi Paswan,BJP,FALSE
2004,Bihar,Sheohar,Sitaram Singh,RJD,,,
2009,Bihar,Sheohar,Rama Devi,BJP,Sitaram Singh,RJD,FALSE
2014,Bihar,Sheohar,Rama Devi,BJP,Rama Devi,BJP,TRUE
2019,Bihar,Sheohar,Rama Devi,BJP,Rama Devi,BJP,TRUE
2024,Bihar,Sheohar,Lovely Anand,JD(U),Rama Devi,BJP,FALSE
2004,Bihar,Sitamarhi,Sitaram Yadav,RJD,,,
2009,Bihar,Sitamarhi,Arjun Rai,JD(U),Sitaram Yadav,RJD,FALSE
2014,Bihar,Sitamarhi,Ram Kumar Sharma,Rashtriya Lok Samta Party,Arjun Rai,JD(U),FALSE
2019,Bihar,Sitamarhi,Sunil Kumar Pintu,JD(U),Ram Kumar Sharma,Rashtriya Lok Samta Party,FALSE
2024,Bihar,Sitamarhi,Devesh Chandra Thakur,JD(U),Sunil Kumar Pintu,JD(U),FALSE
2004,Bihar,Siwan,Mohammad Shahabuddin,RJD,,,
2009,Bihar,Siwan,Om Prakash Yadav,IND,Mohammad Shahabuddin,RJD,FALSE
2014,Bihar,Siwan,Om Prakash Yadav,BJP,Om Prakash Yadav,IND,TRUE
2019,Bihar,Siwan,Kavita Singh,JD(U),Om Prakash Yadav,BJP,FALSE
2024,Bihar,Siwan,Vijay Lakshmi Devi,JD(U),Kavita Singh,JD(U),FALSE
2009,Bihar,Supaul,Vishwa Mohan Kumar,JD(U),,,
2014,Bihar,Supaul,Ranjeet Ranjan,INC,Vishwa Mohan Kumar,JD(U),FALSE
2019,Bihar,Supaul,Dileshwar Kamait,JD(U),Ranjeet Ranjan,INC,FALSE
2024,Bihar,Supaul,Dileshwar Kamait,JD(U),Dileshwar Kamait,JD(U),TRUE
2009,Bihar,Ujiarpur,Ashwamedh Devi,JD(U),,,
2014,Bihar,Ujiarpur,Nityanand Rai,BJP,Ashwamedh Devi,JD(U),FALSE
2019,Bihar,Ujiarpur,Nityanand Rai,BJP,Nityanand Rai,BJP,TRUE
2024,Bihar,Ujiarpur,Nityanand Rai,BJP,Nityanand Rai,BJP,TRUE
2004,Bihar,Vaishali,Raghuvansh Prasad Singh,RJD,,,
2009,Bihar,Vaishali,Raghuvansh Prasad Singh,RJD,Raghuvansh Prasad Singh,RJD,TRUE
2014,Bihar,Vaishali,Rama Kishore Singh,LJP,Raghuvansh Prasad Singh,RJD,FALSE
2019,Bihar,Vaishali,Veena Devi,LJP,Rama Kishore Singh,LJP,FALSE
2024,Bihar,Vaishali,Veena Devi,Ljp(Rv),Veena Devi,LJP,TRUE
2009,Bihar,Valmiki Nagar,Baidyanath Prasad Mahto,JD(U),,,
2014,Bihar,Valmiki Nagar,Satish Chandra Dubey,BJP,Baidyanath Prasad Mahto,JD(U),FALSE
2019,Bihar,Valmiki Nagar,Baidyanath Prasad Mahto,JD(U),Satish Chandra Dubey,BJP,FALSE
2024,Bihar,Valmiki Nagar,Sunil Kumar,JD(U),Baidyanath Prasad Mahto,JD(U),FALSE
2004,Chandigarh,Chandigarh,Pawan Kumar Bansal,INC,,,
2009,Chandigarh,Chandigarh,Pawan Kumar Bansal,INC,Pawan Kumar Bansal,INC,TRUE
2014,Chandigarh,Chandigarh,Kirron Kher,BJP,Pawan Kumar Bansal,INC,FALSE
2019,Chandigarh,Chandigarh,Kirron Kher,BJP,Kirron Kher,BJP,TRUE
2024,Chandigarh,Chandigarh,Manish Tewari,INC,Kirron Kher,BJP,FALSE
2004,Chhattisgarh,Bastar,Baliram Kashyap,BJP,,,
2009,Chhattisgarh,Bastar,Baliram Kashyap,BJP,Baliram Kashyap,BJP,TRUE
2014,Chhattisgarh,Bastar,Dinesh Kashyap,BJP,Baliram Kashyap,BJP,FALSE
2019,Chhattisgarh,Bastar,Deepak Baij,INC,Dinesh Kashyap,BJP,FALSE
2024,Chhattisgarh,Bastar,Mahesh Kashyap,BJP,Deepak Baij,INC,FALSE
2004,Chhattisgarh,Bilaspur,Punnulal Mohle,BJP,,,
2009,Chhattisgarh,Bilaspur,Dilip Singh Judeo,BJP,Punnulal Mohle,BJP,FALSE
2014,Chhattisgarh,Bilaspur,Lakhan Lal Sahu,BJP,Dilip Singh Judeo,BJP,FALSE
2019,Chhattisgarh,Bilaspur,Arun Sao,BJP,Lakhan Lal Sahu,BJP,FALSE
2024,Chhattisgarh,Bilaspur,Tokhan Sahu,BJP,Arun Sao,BJP,FALSE
2004,Chhattisgarh,Durg,Tarachand Sahu,BJP,,,
2009,Chhattisgarh,Durg,Saroj Pandey,BJP,Tarachand Sahu,BJP,FALSE
2014,Chhattisgarh,Durg,Tamradhwaj Sahu,INC,Saroj Pandey,BJP,FALSE
2019,Chhattisgarh,Durg,Vijay Baghel,BJP,Tamradhwaj Sahu,INC,FALSE
2024,Chhattisgarh,Durg,Vijay Baghel,BJP,Vijay Baghel,BJP,TRUE
2004,Chhattisgarh,Janjgir,Karuna Shukla,BJP,,,
2009,Chhattisgarh,Janjgir-Champa,Kamla Devi Patle,BJP,,,
2014,Chhattisgarh,Janjgir-Champa,Kamla Patle,BJP,Kamla Devi Patle,BJP,FALSE
2019,Chhattisgarh,Janjgir-Champa,Guharam Ajgalley,BJP,Kamla Patle,BJP,FALSE
2024,Chhattisgarh,Janjgir-Champa,Kamlesh Jangre,BJP,Guharam Ajgalley,BJP,FALSE
2004,Chhattisgarh,Kanker,Sohan Potai,BJP,,,
2009,Chhattisgarh,Kanker,Sohan Potai,BJP,Sohan Potai,BJP,TRUE
2014,Chhattisgarh,Kanker,Vikram Usendi,BJP,Sohan Potai,BJP,FALSE
2019,Chhattisgarh,Kanker,Mohan Mandavi,BJP,Vikram Usendi,BJP,FALSE
2024,Chhattisgarh,Kanker,Bhojraj Nag,BJP,Mohan Mandavi,BJP,FALSE
2009,Chhattisgarh,Korba,Charan Das Mahant,INC,,,
2014,Chhattisgarh,Korba,Banshilal Mahto,BJP,Charan Das Mahant,INC,FALSE
2019,Chhattisgarh,Korba,Jyotsna Mahant,INC,Banshilal Mahto,BJP,FALSE
2024,Chhattisgarh,Korba,Jyotsna Mahant,INC,Jyotsna Mahant,INC,TRUE
2004,Chhattisgarh,Mahasamund,Ajit Jogi,INC,,,
2009,Chhattisgarh,Mahasamund,Chandu Lal Sahu,BJP,Ajit Jogi,INC,FALSE
2014,Chhattisgarh,Mahasamund,Chandu Lal Sahu,BJP,Chandu Lal Sahu,BJP,TRUE
2019,Chhattisgarh,Mahasamund,Chunni Lal Sahu,BJP,Chandu Lal Sahu,BJP,FALSE
2024,Chhattisgarh,Mahasamund,Roop Kumari Choudhary,BJP,Chunni Lal Sahu,BJP,FALSE
2004,Chhattisgarh,Raigarh,Vishnu Deo Sai,BJP,,,
2009,Chhattisgarh,Raigarh,Vishnu Deo Sai,BJP,Vishnu Deo Sai,BJP,TRUE
2014,Chhattisgarh,Raigarh,Vishnu Deo Sai,BJP,Vishnu Deo Sai,BJP,TRUE
2019,Chhattisgarh,Raigarh,Gomati Sai,BJP,Vishnu Deo Sai,BJP,FALSE
2024,Chhattisgarh,Raigarh,Radheshyam Rathiya,BJP,Gomati Sai,BJP,FALSE
2004,Chhattisgarh,Raipur,Ramesh Bais,BJP,,,
2009,Chhattisgarh,Raipur,Ramesh Bais,BJP,Ramesh Bais,BJP,TRUE
2014,Chhattisgarh,Raipur,Ramesh Bais,BJP,Ramesh Bais,BJP,TRUE
2019,Chhattisgarh,Raipur,Sunil Kumar Soni,BJP,Ramesh Bais,BJP,FALSE
2024,Chhattisgarh,Raipur,Brijmohan Agrawal,BJP,Sunil Kumar Soni,BJP,FALSE
2004,Chhattisgarh,Rajnandgaon,Pradeep Gandhi,BJP,,,
2009,Chhattisgarh,Rajnandgaon,Madhusudan Yadav,BJP,Pradeep Gandhi,BJP,FALSE
2014,Chhattisgarh,Rajnandgaon,Abhishek Singh,BJP,Madhusudan Yadav,BJP,FALSE
2019,Chhattisgarh,Rajnandgaon,Santosh Pandey,BJP,Abhishek Singh,BJP,FALSE
2024,Chhattisgarh,Rajnandgaon,Santosh Pandey,BJP,Santosh Pandey,BJP,TRUE
2004,Chhattisgarh,Sarangarh,Guharam Ajgalle,BJP,,,
2009,Chhattisgarh,Sarguja,Murarilal Singh,BJP,,,
2014,Chhattisgarh,Sarguja,Kamalbhan Singh Marabi,BJP,Murarilal Singh,BJP,FALSE
2019,Chhattisgarh,Sarguja,Renuka Singh,BJP,Kamalbhan Singh Marabi,BJP,FALSE
2024,Chhattisgarh,Sarguja,Chintamani Maharaj,BJP,Renuka Singh,BJP,FALSE
2004,Chhattisgarh,Surguja,Nand Kumar Sai,BJP,,,
2004,Dadra and Nagar Haveli,Dadra And Nagar Haveli,Mohanbhai Sanjibhai Delkar,Bharatiya Navshakti Party,,,
2009,Dadra and Nagar Haveli,Dadra And Nagar Haveli,Natubhai Gomanbhai Patel,BJP,Mohanbhai Sanjibhai Delkar,Bharatiya Navshakti Party,FALSE
2014,Dadra and Nagar Haveli,Dadra And Nagar Haveli,Natubhai Gomanbhai Patel,BJP,Natubhai Gomanbhai Patel,BJP,TRUE
2019,Dadra and Nagar Haveli,Dadra And Nagar Haveli,Mohanbhai Delkar,IND,Natubhai Gomanbhai Patel,BJP,FALSE
2024,Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,Delkar Kalaben Mohanbhai,BJP,,,
2024,Dadra and Nagar Haveli and Daman and Diu,Daman And Diu,Patel Umeshbhai Babubhai,IND,,,
2004,Daman and Diu,Daman And Diu,Patel Dahyabhai Vallabhbhai,INC,,,
2009,Daman and Diu,Daman And Diu,Lalubhai Patel,BJP,Patel Dahyabhai Vallabhbhai,INC,FALSE
2014,Daman and Diu,Daman And Diu,Lalubhai Patel,BJP,Lalubhai Patel,BJP,TRUE
2019,Daman and Diu,Daman And Diu,Lalubhai Patel,BJP,Lalubhai Patel,BJP,TRUE
2004,Delhi,Chandni Chowk,Kapil Sibal,INC,,,
2009,Delhi,Chandni Chowk,Kapil Sibal,INC,Kapil Sibal,INC,TRUE
2014,Delhi,Chandni Chowk,Harsh Vardhan,BJP,Kapil Sibal,INC,FALSE
2019,Delhi,Chandni Chowk,Harsh Vardhan,BJP,Harsh Vardhan,BJP,TRUE
2024,Delhi,Chandni Chowk,Praveen Khandelwal,BJP,Harsh Vardhan,BJP,FALSE
2004,Delhi,Delhi Sadar,Jagdish Tytler,INC,,,
2004,Delhi,East Delhi,Sandeep Dikshit,INC,,,
2009,Delhi,East Delhi,Sandeep Dikshit,INC,Sandeep Dikshit,INC,TRUE
2014,Delhi,East Delhi,Maheish Girri,BJP,Sandeep Dikshit,INC,FALSE
2019,Delhi,East Delhi,Gautam Gambhir,BJP,Maheish Girri,BJP,FALSE
2024,Delhi,East Delhi,Harsh Malhotra,BJP,Gautam Gambhir,BJP,FALSE
2004,Delhi,Karol Bagh,Krishna Tirath,INC,,,
2004,Delhi,New Delhi,Ajay Maken,INC,,,
2009,Delhi,New Delhi,Ajay Maken,INC,Ajay Maken,INC,TRUE
2014,Delhi,New Delhi,Meenakshi Lekhi,BJP,Ajay Maken,INC,FALSE
2019,Delhi,New Delhi,Meenakshi Lekhi,BJP,Meenakshi Lekhi,BJP,TRUE
2024,Delhi,New Delhi,Bansuri Swaraj,BJP,Meenakshi Lekhi,BJP,FALSE
2009,Delhi,North East Delhi,Jai Parkash Aggarwal,INC,,,
2014,Delhi,North East Delhi,Manoj Tiwari,BJP,Jai Parkash Aggarwal,INC,FALSE
2019,Delhi,North East Delhi,Manoj Tiwari,BJP,Manoj Tiwari,BJP,TRUE
2024,Delhi,North East Delhi,Manoj Tiwari,BJP,Manoj Tiwari,BJP,TRUE
2009,Delhi,North West Delhi,Krishna Tirath,INC,,,
2014,Delhi,North West Delhi,Udit Raj,BJP,Krishna Tirath,INC,FALSE
2019,Delhi,North West Delhi,Hans Raj Hans,BJP,Udit Raj,BJP,FALSE
2024,Delhi,North West Delhi,Yogender Chandoliya,BJP,Hans Raj Hans,BJP,FALSE
2004,Delhi,Outer Delhi,Sajjan Kumar,INC,,,
2004,Delhi,South Delhi,Vijay Kumar Malhotra,BJP,,,
2009,Delhi,South Delhi,Ramesh Kumar,INC,Vijay Kumar Malhotra,BJP,FALSE
2014,Delhi,South Delhi,Ramesh Bidhuri,BJP,Ramesh Kumar,INC,FALSE
2019,Delhi,South Delhi,Ramesh Bidhuri,BJP,Ramesh Bidhuri,BJP,TRUE
2024,Delhi,South Delhi,Ramvir Singh Bidhuri,BJP,Ramesh Bidhuri,BJP,FALSE
2009,Delhi,West Delhi,Mahabal Mishra,INC,,,
2014,Delhi,West Delhi,Parvesh Verma,BJP,Mahabal Mishra,INC,FALSE
2019,Delhi,West Delhi,Parvesh Verma,BJP,Parvesh Verma,BJP,TRUE
2024,Delhi,West Delhi,Kamaljeet Sehrawat,BJP,Parvesh Verma,BJP,FALSE
2004,Goa,Mormugao,Churchill Alemao,INC,,,
2009,Goa,North Goa,Shripad Yesso Naik,BJP,,,
2014,Goa,North Goa,Shripad Yesso Naik,BJP,Shripad Yesso Naik,BJP,TRUE
