Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2019,Assam,Dibrugarh,Rameswar Teli,BJP,Rameswar Teli,BJP,TRUE
2024,Assam,Dibrugarh,Sarbananda Sonowal,BJP,Rameswar Teli,BJP,FALSE
2024,Assam,Diphu,Amarsing Tisso,BJP,,,
2004,Assam,Guwahati,Kirip Chaliha,INC,,,
2009,Assam,Guwahati,Bijoya Chakravarty,BJP,Kirip Chaliha,INC,FALSE
2014,Assam,Guwahati,Bijoya Chakravarty,BJP,Bijoya Chakravarty,BJP,TRUE
2019,Assam,Guwahati,Queen Oja,BJP,Bijoya Chakravarty,BJP,FALSE
2024,Assam,Guwahati,Bijuli Kalita Medhi,BJP,Queen Oja,BJP,FALSE
2004,Assam,Jorhat,Bijoy Krishna Handique,INC,,,
2009,Assam,Jorhat,Bijoy Krishna Handique,INC,Bijoy Krishna Handique,INC,TRUE
2014,Assam,Jorhat,Kamakhya Prasad Tasa,BJP,Bijoy Krishna Handique,INC,FALSE
2019,Assam,Jorhat,Topon Kumar Gogoi,BJP,Kamakhya Prasad Tasa,BJP,FALSE
2024,Assam,Jorhat,Gaurav Gogoi,INC,Topon Kumar Gogoi,BJP,FALSE
2004,Assam,Kaliabor,Dip Gogoi,INC,,,
2009,Assam,Kaliabor,Dip Gogoi,INC,Dip Gogoi,INC,TRUE
2014,Assam,Kaliabor,Gourav Gogoi,INC,Dip Gogoi,INC,FALSE
2019,Assam,Kaliabor,Gourav Gogoi,INC,Gourav Gogoi,INC,TRUE
2004,Assam,Karimganj,Lalit Mohan Suklabaidya,INC,,,
2009,Assam,Karimganj,Lalit Mohan Suklabaidya,INC,Lalit Mohan Suklabaidya,INC,TRUE
2014,Assam,Karimganj,Radheshyam Biswas,AIUDF,Lalit Mohan Suklabaidya,INC,FALSE
2019,Assam,Karimganj,Kripanath Mallah,BJP,Radheshyam Biswas,AIUDF,FALSE
2024,Assam,Karimganj,Kripanath Mallah,BJP,Kripanath Mallah,BJP,TRUE
2024,Assam,Kaziranga,Kamakhya Prasad Tasa,BJP,,,
2004,Assam,Kokrajhar,Sansuma Khunggur Bwiswmuthiary,IND,,,
2009,Assam,Kokrajhar,Sansuma Khunggur Bwiswmuthiary,Bodoland People'S Front,Sansuma Khunggur Bwiswmuthiary,IND,TRUE
2014,Assam,Kokrajhar,Naba Kumar Sarania,IND,Sansuma Khunggur Bwiswmuthiary,Bodoland People'S Front,FALSE
2019,Assam,Kokrajhar,Naba Kumar Sarania,IND,Naba Kumar Sarania,IND,TRUE
2024,Assam,Kokrajhar,Joyanta Basumatary,UPPL,Naba Kumar Sarania,IND,FALSE
2004,Assam,Lakhimpur,Arun Kumar Sarmah,AGP,,,
2009,Assam,Lakhimpur,Ranee Narah,INC,Arun Kumar Sarmah,AGP,FALSE
2014,Assam,Lakhimpur,Sarbananda Sonowal,BJP,Ranee Narah,INC,FALSE
2019,Assam,Lakhimpur,Pradan Baruah,BJP,Sarbananda Sonowal,BJP,FALSE
2024,Assam,Lakhimpur,Pradan Baruah,BJP,Pradan Baruah,BJP,TRUE
2004,Assam,Mangaldoi,Narayan Chandra Borkataky,BJP,,,
2009,Assam,Mangaldoi,Ramen Deka,BJP,Narayan Chandra Borkataky,BJP,FALSE
2014,Assam,Mangaldoi,Ramen Deka,BJP,Ramen Deka,BJP,TRUE
2019,Assam,Mangaldoi,Dilip Saikia,BJP,Ramen Deka,BJP,FALSE
2004,Assam,Nagaon,Rajen Gohain,BJP,,,
2009,Assam,Nagaon,Rajen Gohain,BJP,Rajen Gohain,BJP,TRUE
2014,Assam,Nagaon,Rajen Gohain,BJP,Rajen Gohain,BJP,TRUE
2019,Assam,Nagaon,Pradyut Bordoloi,INC,Rajen Gohain,BJP,FALSE
2024,Assam,Nagaon,Pradyut Bordoloi,INC,Pradyut Bordoloi,INC,TRUE
2004,Assam,Silchar,Santosh Mohan Dev,INC,,,
2009,Assam,Silchar,Kabindra Purkayastha,BJP,Santosh Mohan Dev,INC,FALSE
2014,Assam,Silchar,Sushmita Dev,INC,Kabindra Purkayastha,BJP,FALSE
2019,Assam,Silchar,Rajdeep Roy,BJP,Sushmita Dev,INC,FALSE
2024,Assam,Silchar,Parimal Suklabaidya,BJP,Rajdeep Roy,BJP,FALSE
2024,Assam,Sonitpur,Ranjit Dutta,BJP,,,
2004,Assam,Tezpur,Moni Kumar Subba,INC,,,
2009,Assam,Tezpur,Joseph Toppo,AGP,Moni Kumar Subba,INC,FALSE
2014,Assam,Tezpur,Ram Prasad Sharma,BJP,Joseph Toppo,AGP,FALSE
2019,Assam,Tezpur,Pallab Lochan Das,BJP,Ram Prasad Sharma,BJP,FALSE
2004,Bihar,Araria,Sukdeo Paswan,BJP,,,
2009,Bihar,Araria,Pradeep Kumar Singh,BJP,Sukdeo Paswan,BJP,FALSE
2014,Bihar,Araria,Tasleem Uddin,RJD,Pradeep Kumar Singh,BJP,FALSE
2019,Bihar,Araria,Pradeep Kumar Singh,BJP,Tasleem Uddin,RJD,FALSE
2024,Bihar,Araria,Pradeep Kumar Singh,BJP,Pradeep Kumar Singh,BJP,TRUE
2004,Bihar,Arrah,Kanti Singh,RJD,,,
2009,Bihar,Arrah,Meena Singh,JD(U),Kanti Singh,RJD,FALSE
2014,Bihar,Arrah,R. K. Singh,BJP,Meena Singh,JD(U),FALSE
2019,Bihar,Arrah,R. K. Singh,BJP,R. K. Singh,BJP,TRUE
